Domain,Area,Element,Item,Year,Value
"Livestock Primary","Afghanistan","Production","Eggs Primary","1990","14300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1991","14350"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1992","14400"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1993","14450"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1994","14600"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1995","14700"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1996","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1997","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1998","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","1999","18300"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2000","15010"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2001","13100"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2002","16730"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2003","16371"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2004","17400"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2005","21824"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2006","14688"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2007","16858"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2008","16698"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2009","16778"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2010","16344"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2011","17210"
"Livestock Primary","Afghanistan","Production","Eggs Primary","2012","18000"
"Livestock Primary","Afghanistan","Production","Meat, Total","1990","255032"
"Livestock Primary","Afghanistan","Production","Meat, Total","1991","247045"
"Livestock Primary","Afghanistan","Production","Meat, Total","1992","242563"
"Livestock Primary","Afghanistan","Production","Meat, Total","1993","251821"
"Livestock Primary","Afghanistan","Production","Meat, Total","1994","270378"
"Livestock Primary","Afghanistan","Production","Meat, Total","1995","287096"
"Livestock Primary","Afghanistan","Production","Meat, Total","1996","312194"
"Livestock Primary","Afghanistan","Production","Meat, Total","1997","341132"
"Livestock Primary","Afghanistan","Production","Meat, Total","1998","371850"
"Livestock Primary","Afghanistan","Production","Meat, Total","1999","366988"
"Livestock Primary","Afghanistan","Production","Meat, Total","2000","320785"
"Livestock Primary","Afghanistan","Production","Meat, Total","2001","278743"
"Livestock Primary","Afghanistan","Production","Meat, Total","2002","304321"
"Livestock Primary","Afghanistan","Production","Meat, Total","2003","298619"
"Livestock Primary","Afghanistan","Production","Meat, Total","2004","322977"
"Livestock Primary","Afghanistan","Production","Meat, Total","2005","318615"
"Livestock Primary","Afghanistan","Production","Meat, Total","2006","272400"
"Livestock Primary","Afghanistan","Production","Meat, Total","2007","267240"
"Livestock Primary","Afghanistan","Production","Meat, Total","2008","294060"
"Livestock Primary","Afghanistan","Production","Meat, Total","2009","304340"
"Livestock Primary","Afghanistan","Production","Meat, Total","2010","328160"
"Livestock Primary","Afghanistan","Production","Meat, Total","2011","335664"
"Livestock Primary","Afghanistan","Production","Meat, Total","2012","330600"
"Livestock Primary","Afghanistan","Production","Milk,Total","1990","830150"
"Livestock Primary","Afghanistan","Production","Milk,Total","1991","867199"
"Livestock Primary","Afghanistan","Production","Milk,Total","1992","895482"
"Livestock Primary","Afghanistan","Production","Milk,Total","1993","1018484"
"Livestock Primary","Afghanistan","Production","Milk,Total","1994","1203487"
"Livestock Primary","Afghanistan","Production","Milk,Total","1995","1360515"
"Livestock Primary","Afghanistan","Production","Milk,Total","1996","1548809"
"Livestock Primary","Afghanistan","Production","Milk,Total","1997","1700332"
"Livestock Primary","Afghanistan","Production","Milk,Total","1998","1789104"
"Livestock Primary","Afghanistan","Production","Milk,Total","1999","2042100"
"Livestock Primary","Afghanistan","Production","Milk,Total","2000","1651196"
"Livestock Primary","Afghanistan","Production","Milk,Total","2001","1106091"
"Livestock Primary","Afghanistan","Production","Milk,Total","2002","1862800"
"Livestock Primary","Afghanistan","Production","Milk,Total","2003","1734610"
"Livestock Primary","Afghanistan","Production","Milk,Total","2004","1792445"
"Livestock Primary","Afghanistan","Production","Milk,Total","2005","1737820"
"Livestock Primary","Afghanistan","Production","Milk,Total","2006","1640919"
"Livestock Primary","Afghanistan","Production","Milk,Total","2007","1756000"
"Livestock Primary","Afghanistan","Production","Milk,Total","2008","1707200"
"Livestock Primary","Afghanistan","Production","Milk,Total","2009","1732000"
"Livestock Primary","Afghanistan","Production","Milk,Total","2010","1721000"
"Livestock Primary","Afghanistan","Production","Milk,Total","2011","1743000"
"Livestock Primary","Afghanistan","Production","Milk,Total","2012","1844700"
"Livestock Primary","Albania","Production","Eggs Primary","1990","16500"
"Livestock Primary","Albania","Production","Eggs Primary","1991","13000"
"Livestock Primary","Albania","Production","Eggs Primary","1992","13000"
"Livestock Primary","Albania","Production","Eggs Primary","1993","13260"
"Livestock Primary","Albania","Production","Eggs Primary","1994","13680"
"Livestock Primary","Albania","Production","Eggs Primary","1995","13680"
"Livestock Primary","Albania","Production","Eggs Primary","1996","15070"
"Livestock Primary","Albania","Production","Eggs Primary","1997","16180"
"Livestock Primary","Albania","Production","Eggs Primary","1998","19060"
"Livestock Primary","Albania","Production","Eggs Primary","1999","20200"
"Livestock Primary","Albania","Production","Eggs Primary","2000","21490"
"Livestock Primary","Albania","Production","Eggs Primary","2001","24550"
"Livestock Primary","Albania","Production","Eggs Primary","2002","25050"
"Livestock Primary","Albania","Production","Eggs Primary","2003","27200"
"Livestock Primary","Albania","Production","Eggs Primary","2004","29500"
"Livestock Primary","Albania","Production","Eggs Primary","2005","27750"
"Livestock Primary","Albania","Production","Eggs Primary","2006","26850"
"Livestock Primary","Albania","Production","Eggs Primary","2007","27500"
"Livestock Primary","Albania","Production","Eggs Primary","2008","29970"
"Livestock Primary","Albania","Production","Eggs Primary","2009","30250"
"Livestock Primary","Albania","Production","Eggs Primary","2010","31500"
"Livestock Primary","Albania","Production","Eggs Primary","2011","31945"
"Livestock Primary","Albania","Production","Eggs Primary","2012","50759"
"Livestock Primary","Albania","Production","Meat, Total","1990","54100"
"Livestock Primary","Albania","Production","Meat, Total","1991","48900"
"Livestock Primary","Albania","Production","Meat, Total","1992","51400"
"Livestock Primary","Albania","Production","Meat, Total","1993","55300"
"Livestock Primary","Albania","Production","Meat, Total","1994","64110"
"Livestock Primary","Albania","Production","Meat, Total","1995","66700"
"Livestock Primary","Albania","Production","Meat, Total","1996","59138"
"Livestock Primary","Albania","Production","Meat, Total","1997","58584"
"Livestock Primary","Albania","Production","Meat, Total","1998","60390"
"Livestock Primary","Albania","Production","Meat, Total","1999","63095"
"Livestock Primary","Albania","Production","Meat, Total","2000","67300"
"Livestock Primary","Albania","Production","Meat, Total","2001","66630"
"Livestock Primary","Albania","Production","Meat, Total","2002","71800"
"Livestock Primary","Albania","Production","Meat, Total","2003","76203"
"Livestock Primary","Albania","Production","Meat, Total","2004","80207"
"Livestock Primary","Albania","Production","Meat, Total","2005","82109"
"Livestock Primary","Albania","Production","Meat, Total","2006","91003"
"Livestock Primary","Albania","Production","Meat, Total","2007","102790"
"Livestock Primary","Albania","Production","Meat, Total","2008","88918"
"Livestock Primary","Albania","Production","Meat, Total","2009","90221"
"Livestock Primary","Albania","Production","Meat, Total","2010","91440"
"Livestock Primary","Albania","Production","Meat, Total","2011","93340"
"Livestock Primary","Albania","Production","Meat, Total","2012","93900"
"Livestock Primary","Albania","Production","Milk,Total","1990","517520"
"Livestock Primary","Albania","Production","Milk,Total","1991","527410"
"Livestock Primary","Albania","Production","Milk,Total","1992","612100"
"Livestock Primary","Albania","Production","Milk,Total","1993","670685"
"Livestock Primary","Albania","Production","Milk,Total","1994","803212"
"Livestock Primary","Albania","Production","Milk,Total","1995","968314"
"Livestock Primary","Albania","Production","Milk,Total","1996","1043627"
"Livestock Primary","Albania","Production","Milk,Total","1997","849634"
"Livestock Primary","Albania","Production","Milk,Total","1998","860822"
"Livestock Primary","Albania","Production","Milk,Total","1999","907007"
"Livestock Primary","Albania","Production","Milk,Total","2000","948007"
"Livestock Primary","Albania","Production","Milk,Total","2001","984007"
"Livestock Primary","Albania","Production","Milk,Total","2002","1010007"
"Livestock Primary","Albania","Production","Milk,Total","2003","1059007"
"Livestock Primary","Albania","Production","Milk,Total","2004","1064007"
"Livestock Primary","Albania","Production","Milk,Total","2005","1076007"
"Livestock Primary","Albania","Production","Milk,Total","2006","1102009"
"Livestock Primary","Albania","Production","Milk,Total","2007","1016009"
"Livestock Primary","Albania","Production","Milk,Total","2008","1040008"
"Livestock Primary","Albania","Production","Milk,Total","2009","1045008"
"Livestock Primary","Albania","Production","Milk,Total","2010","1070013"
"Livestock Primary","Albania","Production","Milk,Total","2011","1101013"
"Livestock Primary","Albania","Production","Milk,Total","2012","1105067"
"Livestock Primary","Algeria","Production","Eggs Primary","1990","140000"
"Livestock Primary","Algeria","Production","Eggs Primary","1991","127000"
"Livestock Primary","Algeria","Production","Eggs Primary","1992","104000"
"Livestock Primary","Algeria","Production","Eggs Primary","1993","105000"
"Livestock Primary","Algeria","Production","Eggs Primary","1994","115000"
"Livestock Primary","Algeria","Production","Eggs Primary","1995","132000"
"Livestock Primary","Algeria","Production","Eggs Primary","1996","85000"
"Livestock Primary","Algeria","Production","Eggs Primary","1997","96000"
"Livestock Primary","Algeria","Production","Eggs Primary","1998","110000"
"Livestock Primary","Algeria","Production","Eggs Primary","1999","93000"
"Livestock Primary","Algeria","Production","Eggs Primary","2000","101000"
"Livestock Primary","Algeria","Production","Eggs Primary","2001","108000"
"Livestock Primary","Algeria","Production","Eggs Primary","2002","160000"
"Livestock Primary","Algeria","Production","Eggs Primary","2003","165000"
"Livestock Primary","Algeria","Production","Eggs Primary","2004","180000"
"Livestock Primary","Algeria","Production","Eggs Primary","2005","175000"
"Livestock Primary","Algeria","Production","Eggs Primary","2006","178490"
"Livestock Primary","Algeria","Production","Eggs Primary","2007","195690"
"Livestock Primary","Algeria","Production","Eggs Primary","2008","184360"
"Livestock Primary","Algeria","Production","Eggs Primary","2009","193560"
"Livestock Primary","Algeria","Production","Eggs Primary","2010","260477"
"Livestock Primary","Algeria","Production","Eggs Primary","2011","279726"
"Livestock Primary","Algeria","Production","Eggs Primary","2012","308966"
"Livestock Primary","Algeria","Production","Meat, Total","1990","436014"
"Livestock Primary","Algeria","Production","Meat, Total","1991","453646"
"Livestock Primary","Algeria","Production","Meat, Total","1992","469412"
"Livestock Primary","Algeria","Production","Meat, Total","1993","489905"
"Livestock Primary","Algeria","Production","Meat, Total","1994","498833"
"Livestock Primary","Algeria","Production","Meat, Total","1995","497388"
"Livestock Primary","Algeria","Production","Meat, Total","1996","514138"
"Livestock Primary","Algeria","Production","Meat, Total","1997","510988"
"Livestock Primary","Algeria","Production","Meat, Total","1998","539283"
"Livestock Primary","Algeria","Production","Meat, Total","1999","538118"
"Livestock Primary","Algeria","Production","Meat, Total","2000","564427"
"Livestock Primary","Algeria","Production","Meat, Total","2001","535327"
"Livestock Primary","Algeria","Production","Meat, Total","2002","549279"
"Livestock Primary","Algeria","Production","Meat, Total","2003","567517"
"Livestock Primary","Algeria","Production","Meat, Total","2004","589451"
"Livestock Primary","Algeria","Production","Meat, Total","2005","593065"
"Livestock Primary","Algeria","Production","Meat, Total","2006","593944"
"Livestock Primary","Algeria","Production","Meat, Total","2007","601720"
"Livestock Primary","Algeria","Production","Meat, Total","2008","596991"
"Livestock Primary","Algeria","Production","Meat, Total","2009","624458"
"Livestock Primary","Algeria","Production","Meat, Total","2010","635153"
"Livestock Primary","Algeria","Production","Meat, Total","2011","686301"
"Livestock Primary","Algeria","Production","Meat, Total","2012","717202"
"Livestock Primary","Algeria","Production","Milk,Total","1990","977000"
"Livestock Primary","Algeria","Production","Milk,Total","1991","894400"
"Livestock Primary","Algeria","Production","Milk,Total","1992","1012051"
"Livestock Primary","Algeria","Production","Milk,Total","1993","1030056"
"Livestock Primary","Algeria","Production","Milk,Total","1994","1056049"
"Livestock Primary","Algeria","Production","Milk,Total","1995","1167800"
"Livestock Primary","Algeria","Production","Milk,Total","1996","1221200"
"Livestock Primary","Algeria","Production","Milk,Total","1997","1186200"
"Livestock Primary","Algeria","Production","Milk,Total","1998","1330600"
"Livestock Primary","Algeria","Production","Milk,Total","1999","1353332"
"Livestock Primary","Algeria","Production","Milk,Total","2000","1926590"
"Livestock Primary","Algeria","Production","Milk,Total","2001","1987710"
"Livestock Primary","Algeria","Production","Milk,Total","2002","1914866"
"Livestock Primary","Algeria","Production","Milk,Total","2003","1983000"
"Livestock Primary","Algeria","Production","Milk,Total","2004","2316000"
"Livestock Primary","Algeria","Production","Milk,Total","2005","2490909"
"Livestock Primary","Algeria","Production","Milk,Total","2006","2712696"
"Livestock Primary","Algeria","Production","Milk,Total","2007","2614449"
"Livestock Primary","Algeria","Production","Milk,Total","2008","2716719"
"Livestock Primary","Algeria","Production","Milk,Total","2009","2879816"
"Livestock Primary","Algeria","Production","Milk,Total","2010","3160305"
"Livestock Primary","Algeria","Production","Milk,Total","2011","3480561"
"Livestock Primary","Algeria","Production","Milk,Total","2012","3664442"
"Livestock Primary","American Samoa","Production","Eggs Primary","1990","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1991","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1992","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1993","32"
"Livestock Primary","American Samoa","Production","Eggs Primary","1994","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1995","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1996","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1997","30"
"Livestock Primary","American Samoa","Production","Eggs Primary","1998","34"
"Livestock Primary","American Samoa","Production","Eggs Primary","1999","34"
"Livestock Primary","American Samoa","Production","Eggs Primary","2000","34"
"Livestock Primary","American Samoa","Production","Eggs Primary","2001","34"
"Livestock Primary","American Samoa","Production","Eggs Primary","2002","35"
"Livestock Primary","American Samoa","Production","Eggs Primary","2003","33"
"Livestock Primary","American Samoa","Production","Eggs Primary","2004","33"
"Livestock Primary","American Samoa","Production","Eggs Primary","2005","33"
"Livestock Primary","American Samoa","Production","Eggs Primary","2006","39"
"Livestock Primary","American Samoa","Production","Eggs Primary","2007","39"
"Livestock Primary","American Samoa","Production","Eggs Primary","2008","35"
"Livestock Primary","American Samoa","Production","Eggs Primary","2009","39"
"Livestock Primary","American Samoa","Production","Eggs Primary","2010","45"
"Livestock Primary","American Samoa","Production","Eggs Primary","2011","35"
"Livestock Primary","American Samoa","Production","Eggs Primary","2012","35"
"Livestock Primary","American Samoa","Production","Meat, Total","1990","340"
"Livestock Primary","American Samoa","Production","Meat, Total","1991","341"
"Livestock Primary","American Samoa","Production","Meat, Total","1992","342"
"Livestock Primary","American Samoa","Production","Meat, Total","1993","343"
"Livestock Primary","American Samoa","Production","Meat, Total","1994","344"
"Livestock Primary","American Samoa","Production","Meat, Total","1995","344"
"Livestock Primary","American Samoa","Production","Meat, Total","1996","344"
"Livestock Primary","American Samoa","Production","Meat, Total","1997","344"
"Livestock Primary","American Samoa","Production","Meat, Total","1998","344"
"Livestock Primary","American Samoa","Production","Meat, Total","1999","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2000","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2001","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2002","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2003","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2004","344"
"Livestock Primary","American Samoa","Production","Meat, Total","2005","342"
"Livestock Primary","American Samoa","Production","Meat, Total","2006","342"
"Livestock Primary","American Samoa","Production","Meat, Total","2007","343"
"Livestock Primary","American Samoa","Production","Meat, Total","2008","342"
"Livestock Primary","American Samoa","Production","Meat, Total","2009","342"
"Livestock Primary","American Samoa","Production","Meat, Total","2010","341"
"Livestock Primary","American Samoa","Production","Meat, Total","2011","340"
"Livestock Primary","American Samoa","Production","Meat, Total","2012","340"
"Livestock Primary","American Samoa","Production","Milk,Total","1990","16"
"Livestock Primary","American Samoa","Production","Milk,Total","1991","28"
"Livestock Primary","American Samoa","Production","Milk,Total","1992","28"
"Livestock Primary","American Samoa","Production","Milk,Total","1993","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1994","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1995","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1996","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1997","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1998","32"
"Livestock Primary","American Samoa","Production","Milk,Total","1999","32"
"Livestock Primary","American Samoa","Production","Milk,Total","2000","32"
"Livestock Primary","American Samoa","Production","Milk,Total","2001","32"
"Livestock Primary","American Samoa","Production","Milk,Total","2002","32"
"Livestock Primary","American Samoa","Production","Milk,Total","2003","32"
"Livestock Primary","American Samoa","Production","Milk,Total","2004","28"
"Livestock Primary","American Samoa","Production","Milk,Total","2005","28"
"Livestock Primary","American Samoa","Production","Milk,Total","2006","28"
"Livestock Primary","American Samoa","Production","Milk,Total","2007","42"
"Livestock Primary","American Samoa","Production","Milk,Total","2008","34"
"Livestock Primary","American Samoa","Production","Milk,Total","2009","34"
"Livestock Primary","American Samoa","Production","Milk,Total","2010","34"
"Livestock Primary","American Samoa","Production","Milk,Total","2011","34"
"Livestock Primary","American Samoa","Production","Milk,Total","2012","34"
"Livestock Primary","Angola","Production","Eggs Primary","1990","4730"
"Livestock Primary","Angola","Production","Eggs Primary","1991","4000"
"Livestock Primary","Angola","Production","Eggs Primary","1992","4128"
"Livestock Primary","Angola","Production","Eggs Primary","1993","4100"
"Livestock Primary","Angola","Production","Eggs Primary","1994","4244"
"Livestock Primary","Angola","Production","Eggs Primary","1995","4247"
"Livestock Primary","Angola","Production","Eggs Primary","1996","4200"
"Livestock Primary","Angola","Production","Eggs Primary","1997","3746"
"Livestock Primary","Angola","Production","Eggs Primary","1998","4368"
"Livestock Primary","Angola","Production","Eggs Primary","1999","3789"
"Livestock Primary","Angola","Production","Eggs Primary","2000","4300"
"Livestock Primary","Angola","Production","Eggs Primary","2001","4500"
"Livestock Primary","Angola","Production","Eggs Primary","2002","4700"
"Livestock Primary","Angola","Production","Eggs Primary","2003","4900"
"Livestock Primary","Angola","Production","Eggs Primary","2004","5000"
"Livestock Primary","Angola","Production","Eggs Primary","2005","5200"
"Livestock Primary","Angola","Production","Eggs Primary","2006","4300"
"Livestock Primary","Angola","Production","Eggs Primary","2007","4568"
"Livestock Primary","Angola","Production","Eggs Primary","2008","4572"
"Livestock Primary","Angola","Production","Eggs Primary","2009","4930"
"Livestock Primary","Angola","Production","Eggs Primary","2010","4950"
"Livestock Primary","Angola","Production","Eggs Primary","2011","5000"
"Livestock Primary","Angola","Production","Eggs Primary","2012","5020"
"Livestock Primary","Angola","Production","Meat, Total","1990","100780"
"Livestock Primary","Angola","Production","Meat, Total","1991","101376"
"Livestock Primary","Angola","Production","Meat, Total","1992","108736"
"Livestock Primary","Angola","Production","Meat, Total","1993","111973"
"Livestock Primary","Angola","Production","Meat, Total","1994","110025"
"Livestock Primary","Angola","Production","Meat, Total","1995","102145"
"Livestock Primary","Angola","Production","Meat, Total","1996","121098"
"Livestock Primary","Angola","Production","Meat, Total","1997","129525"
"Livestock Primary","Angola","Production","Meat, Total","1998","138448"
"Livestock Primary","Angola","Production","Meat, Total","1999","138315"
"Livestock Primary","Angola","Production","Meat, Total","2000","149202"
"Livestock Primary","Angola","Production","Meat, Total","2001","153000"
"Livestock Primary","Angola","Production","Meat, Total","2002","160697"
"Livestock Primary","Angola","Production","Meat, Total","2003","163873"
"Livestock Primary","Angola","Production","Meat, Total","2004","144784"
"Livestock Primary","Angola","Production","Meat, Total","2005","159022"
"Livestock Primary","Angola","Production","Meat, Total","2006","166024"
"Livestock Primary","Angola","Production","Meat, Total","2007","180307"
"Livestock Primary","Angola","Production","Meat, Total","2008","194198"
"Livestock Primary","Angola","Production","Meat, Total","2009","204509"
"Livestock Primary","Angola","Production","Meat, Total","2010","217027"
"Livestock Primary","Angola","Production","Meat, Total","2011","229545"
"Livestock Primary","Angola","Production","Meat, Total","2012","242975"
"Livestock Primary","Angola","Production","Milk,Total","1990","155601"
"Livestock Primary","Angola","Production","Milk,Total","1991","152000"
"Livestock Primary","Angola","Production","Milk,Total","1992","157000"
"Livestock Primary","Angola","Production","Milk,Total","1993","152000"
"Livestock Primary","Angola","Production","Milk,Total","1994","146000"
"Livestock Primary","Angola","Production","Milk,Total","1995","147000"
"Livestock Primary","Angola","Production","Milk,Total","1996","162000"
"Livestock Primary","Angola","Production","Milk,Total","1997","175000"
"Livestock Primary","Angola","Production","Milk,Total","1998","190000"
"Livestock Primary","Angola","Production","Milk,Total","1999","191000"
"Livestock Primary","Angola","Production","Milk,Total","2000","195000"
"Livestock Primary","Angola","Production","Milk,Total","2001","182308"
"Livestock Primary","Angola","Production","Milk,Total","2002","178957"
"Livestock Primary","Angola","Production","Milk,Total","2003","175581"
"Livestock Primary","Angola","Production","Milk,Total","2004","181808"
"Livestock Primary","Angola","Production","Milk,Total","2005","202190"
"Livestock Primary","Angola","Production","Milk,Total","2006","198000"
"Livestock Primary","Angola","Production","Milk,Total","2007","200000"
"Livestock Primary","Angola","Production","Milk,Total","2008","195500"
"Livestock Primary","Angola","Production","Milk,Total","2009","158400"
"Livestock Primary","Angola","Production","Milk,Total","2010","199357"
"Livestock Primary","Angola","Production","Milk,Total","2011","184000"
"Livestock Primary","Angola","Production","Milk,Total","2012","185500"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1990","180"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1991","180"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1992","180"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1993","180"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1994","180"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1995","190"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1996","200"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1997","210"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1998","215"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","1999","215"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2000","220"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2001","225"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2002","230"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2003","240"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2004","250"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2005","250"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2006","300"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2007","300"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2008","300"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2009","300"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2010","400"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2011","400"
"Livestock Primary","Antigua and Barbuda","Production","Eggs Primary","2012","389"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1990","851"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1991","894"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1992","908"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1993","921"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1994","931"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1995","935"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1996","934"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1997","966"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1998","973"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","1999","1030"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2000","1055"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2001","1121"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2002","1136"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2003","1178"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2004","1187"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2005","1216"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2006","1211"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2007","1222"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2008","1207"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2009","1034"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2010","408"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2011","367"
"Livestock Primary","Antigua and Barbuda","Production","Meat, Total","2012","315"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1990","5538"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1991","7701"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1992","5900"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1993","7707"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1994","7710"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1995","6000"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1996","5600"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1997","5400"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1998","5300"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","1999","6690"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2000","6547"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2001","6737"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2002","5350"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2003","6909"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2004","7037"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2005","7040"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2006","7042"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2007","5400"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2008","5640"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2009","5550"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2010","2898"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2011","6000"
"Livestock Primary","Antigua and Barbuda","Production","Milk,Total","2012","5477"
"Livestock Primary","Argentina","Production","Eggs Primary","1990","291300"
"Livestock Primary","Argentina","Production","Eggs Primary","1991","297830"
"Livestock Primary","Argentina","Production","Eggs Primary","1992","255950"
"Livestock Primary","Argentina","Production","Eggs Primary","1993","264100"
"Livestock Primary","Argentina","Production","Eggs Primary","1994","268800"
"Livestock Primary","Argentina","Production","Eggs Primary","1995","285600"
"Livestock Primary","Argentina","Production","Eggs Primary","1996","288970"
"Livestock Primary","Argentina","Production","Eggs Primary","1997","292340"
"Livestock Primary","Argentina","Production","Eggs Primary","1998","307620"
"Livestock Primary","Argentina","Production","Eggs Primary","1999","318870"
"Livestock Primary","Argentina","Production","Eggs Primary","2000","326935"
"Livestock Primary","Argentina","Production","Eggs Primary","2001","301916"
"Livestock Primary","Argentina","Production","Eggs Primary","2002","255200"
"Livestock Primary","Argentina","Production","Eggs Primary","2003","303000"
"Livestock Primary","Argentina","Production","Eggs Primary","2004","355740"
"Livestock Primary","Argentina","Production","Eggs Primary","2005","388800"
"Livestock Primary","Argentina","Production","Eggs Primary","2006","418608"
"Livestock Primary","Argentina","Production","Eggs Primary","2007","442656"
